,avg_train_entropy,avg_test_entropy,teacher_entropy_intervals
0,-20844.149863362058,-19890.411223502688,190
1,-20913.043976537065,-19697.874486312005,180
2,0.0,0.0,130
3,0.0,0.0,120
4,0.0,0.0,45
5,0.0,0.0,55
6,0.0,0.0,165
7,0.0,0.0,175
8,0.0,0.0,10
9,0.0,0.0,115
10,0.0,0.0,105
11,0.0,0.0,60
12,0.0,0.0,70
13,0.0,0.0,0
14,0.0,0.0,95
15,0.0,0.0,85
16,0.0,0.0,200
17,0.0,0.0,140
18,0.0,0.0,150
19,0.0,0.0,35
20,0.0,0.0,25
21,0.0,0.0,20
22,0.0,0.0,30
23,0.0,0.0,155
24,0.0,0.0,145
25,0.0,0.0,80
26,0.0,0.0,90
27,0.0,0.0,75
28,0.0,0.0,65
29,0.0,0.0,100
30,0.0,0.0,110
31,0.0,0.0,5
32,0.0,0.0,15
33,0.0,0.0,170
34,0.0,0.0,160
35,0.0,0.0,50
36,0.0,0.0,40
37,0.0,0.0,125
38,0.0,0.0,135
39,0.0,0.0,185
40,0.0,0.0,195
